datetime,season,weather,temp,humidity,windspeed,casual,registered,count
1/1/2011 0:00,3,2,7.653428306,122.4308847,18.78370259,5,128,315.7317777
1/1/2011 1:00,4,3,13.26924373,101.703802,14.0352448,36,184,340.457093
1/1/2011 2:00,1,3,30.88692174,77.58374319,45.36508027,34,97,224.2785947
1/1/2011 3:00,3,1,10.46337671,114.9256707,25.34716778,6,47,132.1695495
1/1/2011 4:00,3,4,30.21478257,149.1935922,20.28898166,14,199,315.8671373
1/1/2011 5:00,4,1,7.320587715,114.2932683,28.49898791,20,20,103.6643678
1/1/2011 6:00,1,4,33.22305956,84.54488289,39.77873375,37,158,348.6420276
1/1/2011 7:00,1,1,17.39527568,74.51414209,44.27820013,35,185,333.1396443
1/1/2011 8:00,3,3,22.47722973,96.83820204,43.26683027,22,174,293.5913105
1/1/2011 9:00,2,1,,,,28,22,181.6390895
1/1/2011 10:00,3,4,6.120887632,142.3404388,19.98907137,12,90,180.6431717
1/1/2011 11:00,3,2,,,,4,6,75.63868863
1/1/2011 12:00,3,4,,,,46,127,269.4423451
1/1/2011 13:00,3,2,10.61847915,113.0031687,36.13985133,38,48,190.2015077
1/1/2011 14:00,4,3,17.06097613,112.8598691,38.59250982,38,98,252.3216452
1/1/2011 15:00,1,4,21.62200887,110.7120336,20.21706885,41,30,127.1445821
1/1/2011 16:00,4,1,26.76669379,119.2649978,30.52153561,44,124,254.7722752
1/1/2011 17:00,4,4,25.41662276,106.5478867,51.88802003,42,174,223.9866967
1/1/2011 18:00,4,2,21.54785199,123.4391328,18.32344847,0,92,157.0490256
1/1/2011 19:00,3,3,14.63506474,71.53297839,33.06837727,19,195,336.0062067
1/1/2011 20:00,2,1,22.25674165,87.43218278,56.33401671,42,34,205.4079948
1/1/2011 21:00,1,4,17.10966344,138.9266553,34.0222265,0,33,99.34594414
1/1/2011 22:00,2,2,30.52204434,139.9658541,45.07863322,34,185,309.8968032
1/1/2011 23:00,4,1,9.183263404,110.033572,49.50145179,39,14,154.4319835
1/2/2011 0:00,4,3,4.21976613,72.57263135,19.73075337,44,77,254.0359621
1/2/2011 1:00,2,1,24.90614852,146.3108977,20.52525677,6,84,236.5943627
1/2/2011 2:00,2,3,8.918087889,119.4384628,48.71699031,34,70,209.3428429
1/2/2011 3:00,2,1,32.60724274,106.3381825,47.68630698,33,80,205.9607338
1/2/2011 4:00,4,4,29.73034093,114.3533885,12.5190185,49,169,275.4972833
1/2/2011 5:00,4,2,6.884002362,104.7925297,26.00330074,4,145,253.0790263
1/2/2011 6:00,1,4,7.159748134,107.5723834,28.89027684,28,37,228.1134818
1/2/2011 7:00,1,4,23.74348917,138.8414678,52.47460608,49,63,251.6004405
1/2/2011 8:00,4,3,23.43770973,78.3258138,30.30323147,47,28,181.1692698
1/2/2011 9:00,2,3,11.32505364,77.43299374,55.15916162,26,117,253.0537117
1/2/2011 10:00,2,3,28.34133657,78.93539179,60.64691905,6,114,200.3257429
1/2/2011 11:00,1,4,20.61033064,88.91767866,49.61314382,0,9,99.29602083
1/2/2011 12:00,4,1,,,,8,16,129.4669206
1/2/2011 13:00,1,1,8.913875047,312.8802034,125.1554267,46,159,310.5868308
